system:index,aspect,days,elevation,evimax,evimean,evimedian,evimin,evisum,labels,lstmax,lstmean,lstmedian,lstmin,lstsum,ndvimax,ndvimean,ndvimedian,ndvimin,ndvisum,ndwimax,ndwimean,ndwimedian,ndwimin,ndwisum,precmax,precmean,precmedian,precmin,precsum,slope,time,.geo
1_1_1_1_0000000000000000031e_0_0,116.811066,15,165,0.5712102906687513,0.4645515034675775,0.4396858215932308,0.4076240800150972,1.85820601387031,1,31.850000000000023,29.06000000000003,28.78000000000003,26.83000000000004,116.24000000000012,0.80487806,0.7462976,0.7568228,0.6666667,2.98519037917921,0.062992126,0.018275386,0.005730751,-0.0013520822,0.0731015452183783,0.0,0.0,0.0,0.0,0.0,2.3120742,20151021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.09078385705766,22.10080177755053]}"
1_1_1_1_00000000000000000202_0_0,3.9000108,5,69,0.3861823410592626,0.3553773907635658,0.3553773907635658,0.32457244046786893,0.7107547815271316,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.6592636,0.54681295,0.54681295,0.43436232,1.0936259209425905,-0.017986856,-0.030026332,-0.030026332,-0.042065807,-0.06005266308784485,0.0,0.0,0.0,0.0,0.0,0.92956215,20150629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.01030853044611,23.538106232141764]}"
1_1_1_1_00000000000000000299_0_0,188.1653,5,141,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,3.1007478,20150629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.71835606310727,23.003608638090647]}"
1_1_1_1_0000000000000000029a_0_0,188.1653,5,141,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,3.1007478,20150629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.71835606310727,23.003608638090647]}"
1_1_1_1_000000000000000002ba_0_0,346.6776,5,38,0.5488759248719409,0.5488759248719409,0.5488759248719409,0.5488759248719409,0.5488759248719409,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.76461846,0.76461846,0.76461846,0.76461846,0.7646184340931617,0.03864664,0.03864664,0.03864664,0.03864664,0.0386466383934021,0.0,0.0,0.0,0.0,0.0,3.272858,20150629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.31860576167408,22.873352921893318]}"
1_1_1_1_0000000000000000031c_0_0,177.86887,4,40,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,5.0337315,20150629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.10750166990599,22.082835471868137]}"
1_1_1_1_000000000000000001ef_0_0,154.1273,4,141,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.5798129,20150604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.81592225152635,23.592005149188935]}"
1_1_1_1_00000000000000000012_0_0,80.584335,11,1160,0.48926869468630185,0.3799800722543279,0.3653923420861003,0.3173556443968182,2.2798804335259675,1,26.210000000000036,24.574000000000034,24.27000000000004,23.05000000000001,122.87000000000018,0.79012895,0.7135888,0.7176384,0.615016,4.281532636437698,0.03825417,-0.027056143,-0.018546153,-0.10828924,-0.16233685860061087,9.5524025,1.4259166,0.0,0.0,15.685081958770752,3.185756,20151024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.95154498801914,25.464992516578135]}"
1_1_1_1_00000000000000000203_0_0,302.6155,19,309,0.5539240878055943,0.38944756036641265,0.3639732705412209,0.21052159080707422,3.115580482931301,1,30.090000000000032,27.738000000000035,27.690000000000055,25.690000000000055,138.69000000000017,0.81282496,0.7395078,0.7397043,0.6549232,5.9160625438185015,0.12898003,0.029379563,0.040292412,-0.09909024,0.2350365068996325,0.0,0.0,0.0,0.0,0.0,7.9079423,20151024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87393969603491,23.56056411424475]}"
1_1_1_1_00000000000000000049_0_0,161.8361,15,214,0.38770155156677827,0.36692168003544623,0.35749676042381273,0.3555667281157478,1.1007650401063387,1,29.870000000000005,29.870000000000005,29.870000000000005,29.870000000000005,29.870000000000005,0.65923053,0.5234969,0.5747549,0.3365054,1.5704908414706595,0.016815035,-0.0135417245,-0.006389158,-0.05105105,-0.04062517359852791,8.289788,0.55265254,0.0,0.0,8.289788246154785,2.2561405,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.5852303122826,25.020326450938974]}"
1_1_1_1_000000000000000000ca_0_0,72.16683,15,885,0.3493529008587671,0.3075344491304102,0.31316473646891996,0.2600857100635437,0.9226033473912307,1,29.27000000000004,25.04333333333337,25.010000000000048,20.850000000000023,75.13000000000011,0.68255216,0.5534064,0.5582865,0.41938046,1.6602191634369752,0.031755198,-0.016964283,0.0039953,-0.086643346,-0.050892848055809736,8.914519,0.5943013,0.0,0.0,8.914519309997559,16.38472,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.2961478795711,24.369047869952322]}"
1_1_1_1_000000000000000000cb_0_0,121.261505,15,638,0.34514191008908224,0.3095030632630199,0.3095030632630199,0.27386421643695763,0.6190061265260398,1,28.750000000000057,27.740000000000038,27.740000000000038,26.730000000000018,55.480000000000075,0.72121215,0.49591503,0.49591503,0.2706179,0.9918300278956016,-0.008973081,-0.04109434,-0.04109434,-0.0732156,-0.0821886770427227,9.2645235,0.6176349,0.0,0.0,9.26452350616455,2.9018183,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.12995955200898,24.4049804813171]}"
1_1_1_1_000000000000000000eb_0_0,112.78045,11,424,0.46567496924969254,0.3807277202398038,0.37556487399747585,0.30094331747224307,1.1421831607194113,1,28.07000000000005,28.010000000000048,28.010000000000048,27.950000000000045,56.020000000000095,0.73580325,0.6752829,0.72098476,0.5690608,2.0258487521016963,0.03192318,0.025350127,0.029212432,0.0149147725,0.07605038303881884,0.0,0.0,0.0,0.0,0.0,13.799645,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.10750166990599,24.301674223643356]}"
1_1_1_1_000000000000000001c3_0_0,114.94072,3,453,0.2811591926490222,0.2811591926490222,0.2811591926490222,0.2811591926490222,0.2811591926490222,1,29.970000000000027,29.970000000000027,29.970000000000027,29.970000000000027,29.970000000000027,0.55981237,0.55981237,0.55981237,0.55981237,0.5598123534010945,-0.1261498,-0.1261498,-0.1261498,-0.1261498,-0.12614980340003967,0.0,0.0,0.0,0.0,0.0,16.188793,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.95029649518507,23.834550275901204]}"
1_1_1_1_000000000000000001e8_0_0,328.83798,3,311,0.5868536246841525,0.4789344397697684,0.49528660483503134,0.3546630897901215,1.4368033193093053,1,27.79000000000002,27.79000000000002,27.79000000000002,27.79000000000002,27.79000000000002,0.7981607,0.75904363,0.7911354,0.68783474,2.277130830728532,0.058865756,0.04262911,0.04897765,0.020043932,0.12788733839988708,0.0,0.0,0.0,0.0,0.0,15.841884,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.2961478795711,23.592005149188935]}"
1_1_1_1_000000000000000001e9_0_0,59.677402,13,233,0.531101105914237,0.4326760605948456,0.39378992479987074,0.37313715107042894,1.2980281817845367,1,29.690000000000055,29.690000000000055,29.690000000000055,29.690000000000055,29.690000000000055,0.7863691,0.7496999,0.7496999,0.71303076,1.4993998180488748,0.02492568,-0.020304156,0.02451839,-0.11035654,-0.060912469401955605,0.0,0.0,0.0,0.0,0.0,3.4404132,20150415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.63139456932264,23.605479878450726]}"
